epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
39,104.921,1.00778,2.05523,1.42191,0.6752,0.7,0.70512,0.42941,1.69109,1.56522,1.40279,3.38788e-05,3.38788e-05,3.38788e-05
40,109.221,1.01047,1.10192,1.42998,0.6752,0.7,0.70512,0.42941,1.69109,1.56522,1.40279,3.44641e-05,3.44641e-05,3.44641e-05
41,112.793,0.81043,1.16386,1.15874,0.79157,0.49071,0.57407,0.37955,1.69642,1.60676,1.40767,3.50336e-05,3.50336e-05,3.50336e-05
42,116.318,0.88852,1.21328,1.27502,0.79157,0.49071,0.57407,0.37955,1.69642,1.60676,1.40767,3.55874e-05,3.55874e-05,3.55874e-05
43,120.374,0.52686,2.32612,1.09856,0.77892,0.49764,0.52956,0.30262,1.69244,1.68312,1.40531,3.61255e-05,3.61255e-05,3.61255e-05
44,124.574,0.89977,1.01388,1.25342,0.77892,0.49764,0.52956,0.30262,1.69244,1.68312,1.40531,3.6648e-05,3.6648e-05,3.6648e-05
45,129.193,0.68319,0.84499,1.17834,0.78206,0.49444,0.5286,0.30853,1.71089,1.75634,1.41687,3.71547e-05,3.71547e-05,3.71547e-05
46,133.855,0.93651,1.17739,1.43289,0.78206,0.49444,0.5286,0.30853,1.71089,1.75634,1.41687,3.76457e-05,3.76457e-05,3.76457e-05
47,138.46,0.83509,0.81242,1.12404,0.77851,0.49449,0.51818,0.30331,1.70149,1.78364,1.40169,3.81209e-05,3.81209e-05,3.81209e-05
48,142.873,0.71793,0.9812,1.12678,0.77851,0.49449,0.51818,0.30331,1.70149,1.78364,1.40169,3.85805e-05,3.85805e-05,3.85805e-05
49,147.251,0.90083,1.04542,1.25179,0.77622,0.49608,0.51704,0.28636,1.70563,1.85872,1.40806,3.90244e-05,3.90244e-05,3.90244e-05
50,149.386,0.82988,0.84243,1.17876,0.77622,0.49608,0.51704,0.28636,1.70563,1.85872,1.40806,3.94525e-05,3.94525e-05,3.94525e-05
51,150.856,0.74946,0.95496,1.14735,0.7767,0.49582,0.51498,0.28083,1.72018,1.91789,1.42137,3.9865e-05,3.9865e-05,3.9865e-05
52,152.479,0.82218,0.84886,1.16883,0.7767,0.49582,0.51498,0.28083,1.72018,1.91789,1.42137,4.02617e-05,4.02617e-05,4.02617e-05
53,154.142,0.67605,0.68895,1.18758,0.7767,0.49582,0.51498,0.28083,1.72018,1.91789,1.42137,4.06428e-05,4.06428e-05,4.06428e-05
54,155.709,0.79135,1.10306,1.22541,0.76499,0.49613,0.51517,0.27868,1.70681,2.01164,1.42546,4.10081e-05,4.10081e-05,4.10081e-05
55,157.424,0.82862,0.73204,1.12325,0.76499,0.49613,0.51517,0.27868,1.70681,2.01164,1.42546,4.13577e-05,4.13577e-05,4.13577e-05
56,158.961,0.78601,0.98603,1.13222,0.76499,0.49613,0.51517,0.27868,1.70681,2.01164,1.42546,4.16917e-05,4.16917e-05,4.16917e-05
57,160.905,0.61692,0.74356,1.05898,0.77441,0.49891,0.51551,0.28271,1.70067,2.09852,1.42815,4.20099e-05,4.20099e-05,4.20099e-05
58,162.457,0.67657,0.64203,1.13121,0.77441,0.49891,0.51551,0.28271,1.70067,2.09852,1.42815,4.23124e-05,4.23124e-05,4.23124e-05
59,164.05,0.76971,0.83036,1.22057,0.77441,0.49891,0.51551,0.28271,1.70067,2.09852,1.42815,4.25991e-05,4.25991e-05,4.25991e-05
60,165.612,0.9362,1.0042,1.36322,0.80519,0.5,0.51628,0.26454,1.73555,2.17149,1.46426,4.28702e-05,4.28702e-05,4.28702e-05
61,167.319,0.59169,0.76292,1.07581,0.80519,0.5,0.51628,0.26454,1.73555,2.17149,1.46426,4.31256e-05,4.31256e-05,4.31256e-05
62,169.178,0.63033,0.69013,1.10694,0.80519,0.5,0.51628,0.26454,1.73555,2.17149,1.46426,4.33653e-05,4.33653e-05,4.33653e-05
63,170.85,1.27949,1.45987,1.69776,0.71003,0.46041,0.47514,0.261,1.75717,2.17129,1.49485,4.35892e-05,4.35892e-05,4.35892e-05
64,172.408,0.82733,0.83761,1.15862,0.71003,0.46041,0.47514,0.261,1.75717,2.17129,1.49485,4.37975e-05,4.37975e-05,4.37975e-05
65,174.276,0.76813,0.62764,1.10342,0.71003,0.46041,0.47514,0.261,1.75717,2.17129,1.49485,4.399e-05,4.399e-05,4.399e-05
66,176.124,0.67608,0.62792,1.13263,0.70822,0.45786,0.47565,0.27209,1.83598,2.22876,1.54708,4.41668e-05,4.41668e-05,4.41668e-05
67,177.647,0.64062,0.52264,1.0225,0.70822,0.45786,0.47565,0.27209,1.83598,2.22876,1.54708,4.4328e-05,4.4328e-05,4.4328e-05
68,179.171,0.84668,0.84287,1.21669,0.70822,0.45786,0.47565,0.27209,1.83598,2.22876,1.54708,4.44734e-05,4.44734e-05,4.44734e-05
69,181,0.71931,0.66054,1.13045,0.72095,0.46852,0.47883,0.26439,1.81553,2.19781,1.52043,4.46031e-05,4.46031e-05,4.46031e-05
70,182.569,1.05699,1.08605,1.43165,0.72095,0.46852,0.47883,0.26439,1.81553,2.19781,1.52043,4.47171e-05,4.47171e-05,4.47171e-05
71,184.074,0.59762,0.60705,1.00068,0.72095,0.46852,0.47883,0.26439,1.81553,2.19781,1.52043,4.48154e-05,4.48154e-05,4.48154e-05
72,185.785,0.75908,0.55716,1.01017,0.71376,0.45864,0.47567,0.26327,1.84347,2.2421,1.53178,4.4898e-05,4.4898e-05,4.4898e-05
73,187.377,0.67784,0.73138,1.09851,0.71376,0.45864,0.47567,0.26327,1.84347,2.2421,1.53178,4.49649e-05,4.49649e-05,4.49649e-05
74,189.251,0.7291,0.63474,1.13802,0.71376,0.45864,0.47567,0.26327,1.84347,2.2421,1.53178,4.5016e-05,4.5016e-05,4.5016e-05
75,191.419,0.8271,0.68238,1.30359,0.68873,0.38333,0.46166,0.25567,1.9063,2.28289,1.57746,4.50515e-05,4.50515e-05,4.50515e-05
76,195.997,0.64258,0.55462,1.06381,0.68873,0.38333,0.46166,0.25567,1.9063,2.28289,1.57746,4.50713e-05,4.50713e-05,4.50713e-05
77,200.274,0.64641,0.56272,1.11408,0.68873,0.38333,0.46166,0.25567,1.9063,2.28289,1.57746,4.50753e-05,4.50753e-05,4.50753e-05
78,205.048,0.79999,0.9417,1.1947,0.69116,0.38333,0.46051,0.2549,1.93985,2.28695,1.58857,4.50636e-05,4.50636e-05,4.50636e-05
79,209.262,0.65156,0.60618,1.03239,0.69116,0.38333,0.46051,0.2549,1.93985,2.28695,1.58857,4.50363e-05,4.50363e-05,4.50363e-05
80,213.418,0.57843,0.51005,0.96109,0.69116,0.38333,0.46051,0.2549,1.93985,2.28695,1.58857,4.49932e-05,4.49932e-05,4.49932e-05
81,217.402,0.60097,0.72346,1.15282,0.69734,0.38333,0.46021,0.25452,1.9228,2.28916,1.56123,4.49344e-05,4.49344e-05,4.49344e-05
82,220.978,0.59105,0.43447,1.05994,0.69734,0.38333,0.46021,0.25452,1.9228,2.28916,1.56123,4.48599e-05,4.48599e-05,4.48599e-05
83,222.763,0.7166,0.6855,1.12278,0.69734,0.38333,0.46021,0.25452,1.9228,2.28916,1.56123,4.47697e-05,4.47697e-05,4.47697e-05
84,224.777,0.46967,0.43839,0.98241,0.70461,0.3921,0.46429,0.23775,1.95266,2.38342,1.60202,4.46638e-05,4.46638e-05,4.46638e-05
85,227.23,0.59803,0.70393,1.03022,0.70461,0.3921,0.46429,0.23775,1.95266,2.38342,1.60202,4.45422e-05,4.45422e-05,4.45422e-05
86,231.703,0.86877,0.88698,1.40169,0.70461,0.3921,0.46429,0.23775,1.95266,2.38342,1.60202,4.44049e-05,4.44049e-05,4.44049e-05
87,236.053,0.85827,0.80106,1.21814,0.70461,0.3921,0.46429,0.23775,1.95266,2.38342,1.60202,4.42518e-05,4.42518e-05,4.42518e-05
88,240.795,0.69966,0.53785,1.16054,0.69281,0.38333,0.46658,0.23846,1.93639,2.41872,1.60444,4.40831e-05,4.40831e-05,4.40831e-05
89,244.844,0.83021,0.77156,1.18716,0.69281,0.38333,0.46658,0.23846,1.93639,2.41872,1.60444,4.38986e-05,4.38986e-05,4.38986e-05
90,249.201,0.61058,0.66893,1.00428,0.69281,0.38333,0.46658,0.23846,1.93639,2.41872,1.60444,4.36985e-05,4.36985e-05,4.36985e-05
91,253.684,0.65541,0.55248,1.02851,0.69281,0.38333,0.46658,0.23846,1.93639,2.41872,1.60444,4.34826e-05,4.34826e-05,4.34826e-05
92,258.347,0.64104,0.502,0.95804,0.7182,0.38112,0.4629,0.23346,1.89414,2.48978,1.57007,4.3251e-05,4.3251e-05,4.3251e-05
93,262.605,0.62727,0.82817,1.23282,0.7182,0.38112,0.4629,0.23346,1.89414,2.48978,1.57007,4.30037e-05,4.30037e-05,4.30037e-05
94,267.385,0.78439,0.7105,1.25601,0.7182,0.38112,0.4629,0.23346,1.89414,2.48978,1.57007,4.27408e-05,4.27408e-05,4.27408e-05
95,271.529,0.58871,0.65146,1.05157,0.7182,0.38112,0.4629,0.23346,1.89414,2.48978,1.57007,4.24621e-05,4.24621e-05,4.24621e-05
96,275.763,0.61718,0.56544,1.0541,0.71989,0.38017,0.46114,0.2433,1.93431,2.4779,1.58302,4.21677e-05,4.21677e-05,4.21677e-05
97,279.663,0.68663,0.55923,1.09619,0.71989,0.38017,0.46114,0.2433,1.93431,2.4779,1.58302,4.18575e-05,4.18575e-05,4.18575e-05
98,283.038,0.60696,0.70285,1.0943,0.71989,0.38017,0.46114,0.2433,1.93431,2.4779,1.58302,4.15317e-05,4.15317e-05,4.15317e-05
99,284.467,0.64864,0.68797,1.02881,0.71989,0.38017,0.46114,0.2433,1.93431,2.4779,1.58302,4.11902e-05,4.11902e-05,4.11902e-05
100,286.513,0.59648,0.72117,1.12392,0.72111,0.37852,0.45934,0.2396,1.94853,2.52003,1.5876,4.08329e-05,4.08329e-05,4.08329e-05
101,288.36,0.66232,0.7575,1.02715,0.72111,0.37852,0.45934,0.2396,1.94853,2.52003,1.5876,4.046e-05,4.046e-05,4.046e-05
102,289.744,0.81514,0.77057,1.21683,0.72111,0.37852,0.45934,0.2396,1.94853,2.52003,1.5876,3.96746e-05,3.96746e-05,3.96746e-05
103,291.508,0.74218,0.69093,1.1383,0.72111,0.37852,0.45934,0.2396,1.94853,2.52003,1.5876,3.88892e-05,3.88892e-05,3.88892e-05
104,293.465,0.76295,0.54687,1.06563,0.73501,0.4201,0.47483,0.25378,1.93487,2.46078,1.56104,3.81038e-05,3.81038e-05,3.81038e-05
105,295.401,0.57011,0.53173,1.0532,0.73501,0.4201,0.47483,0.25378,1.93487,2.46078,1.56104,3.73184e-05,3.73184e-05,3.73184e-05
